ranking,id,name,ign,team,nationality,total_point,a_point,b_point,c_point,d_point
1,103003,김태성,Heaven,DN SOOPers,대한민국,130,0,130,0,0
2,103002,심규민,Gyumin,DN SOOPers,대한민국,85,0,85,0,0
3,103005,송민근,BreaKers,FN Esports,대한민국,30,0,30,0,0
4,103004,김해찬,REX,DN SOOPers,대한민국,15,0,15,0,0
5,103009,오원빈,BeaN,Gen.G Esports,대한민국,0,0,0,0,0
5,103010,다니엘 노,diyy,Gen.G Esports,USA,0,0,0,0,0
5,103011,우제현,Salute,Gen.G Esports,대한민국,0,0,0,0,0
5,103014,차지훈,Heather,T1,대한민국,0,0,0,0,0
5,103015,김종명,Rain1ng,T1,대한민국,0,0,0,0,0
5,103016,이진우,Type,T1,대한민국,0,0,0,0,0
5,103017,박찬섭,DEER,GAME PT,대한민국,0,0,0,0,0
5,103018,김중연,GimJun,GAME PT,대한민국,0,0,0,0,0
5,103019,이규민,Hama,GAME PT,대한민국,0,0,0,0,0
5,103020,박상웅,Woong,GAME PT,대한민국,0,0,0,0,0
5,103021,김지한,innate,GAME PT,대한민국,0,0,0,0,0
5,103012,조기열,seoul,Gen.G Esports,대한민국,0,0,0,0,0
5,103008,이종호,Starlord,FN Esports,대한민국,0,0,0,0,0
5,103013,노태영,EEND,T1,대한민국,0,0,0,0,0
5,103001,김진현,DIEL,DN SOOPers,대한민국,0,0,0,0,0
5,103006,양윤수,Hush,FN Esports,대한민국,0,0,0,0,0
5,103007,배호진,kkachi,FN Esports,대한민국,0,0,0,0,0
