ranking,id,name,ign,team,nationality,total_point,a_point,b_point,c_point,d_point
1,104016,서문지훈,Jihoon,ASL,대한민국,250,0,250,0,0
1,104017,송병구,Stork,ASL,대한민국,250,0,250,0,0
3,104009,김택용,Bisu,ASL,대한민국,245,0,245,0,0
4,104024,윤찬희,Mong,ASL,대한민국,230,0,230,0,0
4,104030,이제동,Jaedong,ASL,대한민국,230,0,230,0,0
4,104032,장윤철,SnOw,ASL,대한민국,230,0,230,0,0
7,104023,윤종현,TaeNgGu,ASL,대한민국,225,0,225,0,0
7,104019,염보성,Sea,ASL,대한민국,225,0,225,0,0
7,104018,신상문,Leta,ASL,대한민국,225,0,225,0,0
7,104015,손경훈(브레인신),BrainShin,Streamer,대한민국,225,0,225,0,0
11,104006,김정우,effOrt,ASL,대한민국,215,0,215,0,0
12,104033,정영재,JyJ,ASL,대한민국,210,0,210,0,0
12,104013,박수범,Tyson,ASL,대한민국,210,0,210,0,0
14,104012,박성균,Mind,ASL,대한민국,205,0,205,0,0
15,104002,김민철,SoulKey,ASL,대한민국,200,0,200,0,0
16,104031,임요환,BoxeR,은퇴,대한민국,180,0,180,0,0
17,104038,홍진호,Yellow,은퇴,대한민국,175,0,175,0,0
17,104003,김성대,Action,ASL,대한민국,175,0,175,0,0
19,104021,윤수철,Tulbo,ASL,대한민국,170,0,170,0,0
20,104036,조일장,herO,ASL,대한민국,155,0,155,0,0
20,104026,이영웅,Speed,ASL,대한민국,155,0,155,0,0
22,104028,이영호,FlaSh,ASL,대한민국,135,0,135,0,0
23,104011,박상현,Soma,ASL,대한민국,125,0,125,0,0
24,104025,이예훈,Sea.Sacsri,ASL,대한민국,120,0,120,0,0
25,104029,이재호,Light,ASL,대한민국,115,0,115,0,0
25,104020,유영진,Rush,ASL,대한민국,115,0,115,0,0
25,104037,최호선,sSak,ASL,대한민국,115,0,115,0,0
28,104035,조기석,Sharp,ASL,대한민국,110,0,110,0,0
28,104014,변현제,Mini,ASL,대한민국,110,0,110,0,0
30,104008,김태영,Ample,ASL,대한민국,105,0,105,0,0
31,104039,황병영,Barracks,ASL,대한민국,100,0,100,0,0
32,104004,김윤중,Shuttle,ASL,대한민국,95,0,95,0,0
33,104022,윤용태,Free,ASL,대한민국,75,0,75,0,0
34,104010,도재욱,Best,ASL,대한민국,65,0,65,0,0
35,104040,김성현,Last,ASL,대한민국,60,0,60,0,0
36,104001,김명운,ZerO,ASL,대한민국,45,0,45,0,0
37,104005,김윤환,Calm,ASL,대한민국,30,0,30,0,0
38,104027,이영한,Shine,ASL,대한민국,25,0,25,0,0
39,104007,김지성,sOrry,ASL,대한민국,10,0,10,0,0
40,104034,정윤종,Rain,ASL,대한민국,5,0,5,0,0
41,104041,임홍규,Larva,ASL,대한민국,0,0,0,0,0
